premise,hypothesis,label,premise_en,hypothesis_en,source
عامل يخرج من فوق مبنى قيد الإنشاء.,شخص فوق المبنى.,0,A worker peers out from atop a building under construction.,A person is atop of a building.,snli
قارب الإنقاذ البرتقالي يندفع عبر الماء,قارب الإنقاذ البرتقالي لا يندفع عبر الماء,2,The orange rescue boat is rushing across the water,The orange rescue boat is not rushing across the water,arNLI
هناك عدد قليل من الحيوانات من الماء,يلعب شخصين بينج بونج,1,A few animals are out of the water,Two people are playing ping pong,arNLI
كلب أصفر يطارد كرة,قطة صفراء تطارد كرة,1,A yellow dog is chasing a ball,A yellow cat is chasing a ball,arNLI
هل سيأتي البيت الأبيض؟,اتخذ البيت الأبيض قرارًا.,2,Will the White House come around?,The White House has made a decision.,xnli
وقال سابول إنه يتعين عليه التوقف من حين لآخر ، ولكن حتى يتم ترتيب ذلك بشكل ملائم.,لاحظ سابول أنه لا يحتاج إلى أخذ فترات راحة.,2,"Sabol said he has to take the occasional pit stop, but even that is conveniently arranged.",Sabol remarked that he does not need to take any breaks.,xnli
ها هي صورة لناس تثمل في حفل منزلي.,بعض الناس يحتفلون بجانب حمام السباحة.,1,Here is a picture of people getting drunk at a house party.,Some people are by the side of a swimming pool partying.,snli
شخص يقود دراجة نارية,رجل بدون خوذة يركب دراجة نارية زرقاء على الطريق,1,A motorcyclist is riding a motorbike along a roadway,A motorcyclist without a helmet is waiting on a blue motorcycle near the road,arNLI
رجل واحد يلعب بحماس على الغيتار,رجل يعزف بحماس على الغيتار,0,One man is passionately playing the guitar,A man is passionately playing a guitar,arNLI
اعتادت جدتي أن تخبرني عدا كبيرا من الحكايا عن سنوات ترعرها و،إيه، خاصة ،إيه ، اعتادت أن تتحدث عن عائلتها وكيف كانت في  تلك الأوقات .,لقد استمتعت دائمًا بالاستماع إلى قصص جدتي.,1,"My grandmother used to tell me a lot of different stories about her growing-up years and, uh, especially, uh, she used to talk about her family, and what it was like during those times.",I always enjoyed listening to my grandmother's stories.,xnli
تجدر الإشارة إلى أن تأثير الكثافة البريدية على التكلفة أكبر في فرنسا مما هو عليه في,الكثافة البريدية تزيد التكلفة في فرنسا بنسبة تصل إلى 40٪.,1,It should be noted that the impact of postal density on cost is greater in France than in the,Postal density raises the cost in France by up to 40%.,xnli
على الرغم من أن أعضاء مجلس إدارة سي في أر اعتبروا منح المال كقرض، وليس منحة، فإن تصويتهم على طلب التمويل -- اتُخِذَ بعد مغادرة ميلن ورالفز الاجتماع -- كان بالإجماع.,لم يتمكّن أعضاء مجلس إدارة CVR من التوّصل إلى اتفاق حول كيفية منح المال ونتيجة لذلك انقسمت الأصوات إلى نصفين.,2,"Although CVR board members considered giving the money as a loan, not a grant, their vote on the funding request -- taken after Milne and Ralphs left the meeting -- was unanimous.",CVR board members could not come to an agreement on how to give the money and in result the vote was split down the middle.,xnli
رجل يتسلق الصخور وتظهر مدينة وخليج في الخلفية,رجل يتسلق الصخور ويتوقف ويحسب الطريق,1,A man is rock climbing and a city and a bay are in the background,"A man is rock climbing, stopping and calculating the route",arNLI
رجل يكتب على لوحة المفاتيح مع أنفه,ليس هناك رجل يعزف  على البيانو بأنفه,2,A man is playing the keyboard with his nose,There is no man playing the piano with his nose,arNLI
كان هنا تهديد غامض إلى حد ما، روحًا متمردة عجز عن فهمها.,كان يدرك تمامًا الخطر المحدق به.,2,"There was here quite plainly a vague threat, a mutinous spirit he could not understand.","He understood very clearly, the threat that was before him.",xnli
FOREVER PLAID - هو الاسم الذي يشير إلى استمرار القيم التقليدية والأسرة والمنازل والوئام.,إنّ مسرحية فوريفر بلاد تسهم في تعزيز مفهوم العادات والتقاليد و كذلك الإحساس بأهمية العائلة .,0,"FOREVER PLAID - a name that connotes the continuation of traditional values, of family, home and harmony.",FOREVER PLAID helps convey a sense of tradition and family.,xnli
ومع ذلك، فإن موت البوكيمون الذي لا مفر منه يقدم لنا فرصة لإنشاء ظاهرة بديلة وفرصة للحصول على النقود.,مع موت البوكيمون، من الواضح وجود فرصة جديدة للربح من البديل.,0,"Still, the inevitable death of Pokemon presents us with the opportunity to create the replacement phenom and cash in on it.","With Pokemon dying out, a new opportunity to profit off a replacement is evident.",xnli
يقود راكب دراجة على دراجة رياضية صفراء حركة بهلوانية بالدراجة وصديق على دراجة سوداء يلحق بالركب,رجل على دراجة رياضية صفراء يقوم بحركة بهلوانية بالدراجة وصديق على دراجة سوداء يلحق بالركب,0,A biker on a yellow sport bike is doing a wheelie and a friend on a black bike is catching up,A man on a yellow sport bike is doing a wheelie and a friend on a black bike is catching up,arNLI
"لكن لديهم اسم خاص مخفي, لا يزال سرا عائليا.",لقد تم تناقل الاسم السري عبر الأجيال في العائلة.,1,"But they have one private, hidden name which remains a family secret.",The secret name has been passed down through the family generation after generation.,xnli
يتم تغذيتها وحيد القرن على العشب,وحيد القرن يرعى على العشب,0,The rhino is being fed on the grass,The rhino is grazing on the grass,arNLI
وستسبب أيضاً أن يقوم الأشخاص بتقليص نفاياتهم أكثر، وآآ، الحد من الحجم هو أقرب قليلاً من المشكلة الحقيقية، عن تقليل الوزن,الأشخاص الذين يقيّدون كمية القمامة أقرب إلى المشكلة من وزن القمامة الفعلية.,0,and it would also cause people to compact their garbage more uh and uh and limiting the volume is probably a little bit closer to the real problem than limiting the weight,People constraining the amount of garbage is closer to the issue than the weight of the actual garbage.,xnli
نظرًا للوقت والتكنولوجيا المحسنة ، يمكن وصف جميع الهواتف غير اللاسلكية بأنها هواتف سلكية.,الهواتف التي ليس بها راديو سينتهي بها الأمر كالهواتف السلكية.,0,"Given time and improved technology, all non-radio phones may be branded as wire phones .",Non radio phones will all end up as wire phones.,xnli
الرجل الذي يقوم بالوقفة يراقبه رجل آخر,رجل في وضع يراقبه رجل آخر بتسلية,0,A man doing a pose is being watched by another man,A man in a pose is being amusedly watched by another man,arNLI
لكي تكون شريكًا صانعا، وعميلا ومنشئًا في  نتائج الأعمال,يمكن للشركاء التركيز على العملاء في أعمالهم.,0,"To be a Value Creating, Customer Focused Partner in Business Results",Partners can be customer-focused in their business.,xnli
نشأة الأجهزة الجزيئية المعقدة الأعلى مرتبة بسبب أن الانتخاب الطبيعي لديه القدرة على العمل على خصائص معينة منتقاة لمثل هذه المجموعات الجزيئية عندما تتراكم هذه الخصائص الجماعية من خلال القدرة على التكيف.,جميع الأجهزة الجزيئية معقدة على حد سواء.,2,These higher-order complexes of molecular devices arise because natural selection is able to act upon the collective properties of such molecular aggregates when those collective properties augment adaptive fitness.,All molecular devices are equally complex.,xnli
امرأة ترتدي قميص ملون والكثير من المجوهرات,امرأة شابة بملابس الهندية والحناء على يدها,1,A woman is wearing a colorful shirt and a lot of jewelry,A young woman with Indian clothing and henna on her hand is going through paperwork,arNLI
هناك عملية لغوية ما في نمو مفرداتنا والتي لا تعمل بنسبة عالية من الفاعلية.,لدينا المفردات لها عملية لغوية.,0,There is a linguistic process in the evolution of our vocabulary that is not functioning with a high rate of efficiency.,Our vocabulary has a linguistic process.,xnli
رجل وامرأة في غرفة بيج ، يرتديان قمصانًا داكنة اللون وشاشة في الخلفية,رجل وامرأة في غرفة مطلية باللون البيج ويرتدون قمصانًا داكنة اللون وشاشة في الخلفية,0,"A man and a woman are in a beige room, wearing dark colored shirts and a monitor is in the background","A man and a woman are in a room painted beige, wearing dark colored shirts and a monitor is in the background",arNLI
رجل يتحدث على الهاتف,رجل يجري مكالمة على الهاتف الخليوي,1,A man is talking on the phone,A man is making a call on a cell phone,arNLI
كلب صغير يركض ويحاول الشخص الذي يملكه الإمساك به,الكلب الأسود والأبيض يركض ويقف شخص خلفه,1,A little dog is sprinting and the person who owns it is trying to catch it,The black and white dog is running and a person stands behind it,arNLI
بديل لتعبير مختلف ، من أجل تجنب الخسارة المحتملة للوجه خاص بنا ، أو من خلال الإهانة ، أو من جانب الجمهور ، أو من طرف ثالث.,من أجل تفادي الخسارة.,0,"an alternative to a dispreferred expression, in order to avoid possible loss of  either one's own face or, through giving offense, that of the audience, or of some third party.",In order to avoid loss.,xnli
موقعك هو على سطح السفينة.,يتم وضعك على مقعد السلاح.,0,Your station is on the gun-deck.,You are stationed on the gun deck.,xnli
وبالطبع، فإن الآثار العظيمة لفهم الحرية في القرن الثامن عشر هي الدستور ووثيقة الحقوق.,لم يفهم أحد في القرن الثامن عشر الحرية.,2,"And, of course, the great monuments to the eighteenth-century understanding of freedom are the Constitution and the Bill of Rights.",No one in the eighteenth century understood freedom.,xnli
خلف الفندق ، ما بعد تمثال عام عام 1898 لصمويل دي شامبلين ، مؤسس المدينة ، يقدم دوفرين تيراس إطلالة رائعة على سانت لورانس و داون ريفر حتى أيل دو اورليانز.,تم بناء تمثال مؤسس المدينة في عام 1898.,0,"Behind the hotel, beyond an 1898 statue of Samuel de Champlain, the city's founder, Dufferin Terrace offers a magnificent view over the St. Lawrence and downriver to the Ile d'Orleans.",The statue of the city founder was built in 1898.,xnli
خمسة أطفال يقفون في كوخ خشبي,يقف خمسة أطفال أمام كوخ خشبي,1,Five children are standing in a wooden hut,Five children are standing in front of a wooden hut,arNLI
الوقت اللازم لإكمال هذه المرحلة من مشروع التنفيذ هو حوالي 17 شهرًا للـ SCR.,يستغرق تنفيذ القواعد الجديدة 17 شهرًا.,1,The time needed to complete this phase of an implementation project is about 17 months for SCR.,It takes 17 months to implement the new rules.,xnli
نتيجة لذلك ، أعرف أنك تذهب إلى أماكن  كثيرة بعيدة لتكن عطوفا وتعتني بالأخرين.,أعلم أنك لا تهتم بالناس على الإطلاق.,2,"Consequently, I know that you go to extra lengths to be compassionate and caring to others.",I know you just don't care about people at all.,xnli
فتاة تقف في مجموعة وترتدي قميصًا أسود وخرزًا ورديًا,لا توجد فتاة ذات بقع سوداء وبرتقالية على الخدين,1,A girl is standing in a group and is wearing a black shirt and pink beads,There is no girl with black and orange patches on the cheeks,arNLI
وبالتالي، لا يمكنني قبول أصل هندريكسون لخطوط العرض، مع ذلك، لإعطائه ما يستحقه، قام فقط بنسخ أصله من مصادر أخرى، شمله مكتب المدعي العام.,أنا متأكد من أن Hendrickson لم يكن لديه الكثير ليبني أفكاره عليه.,1,"Thus, I cannot accept Hendrickson's origin for horse latitudes , though, to give him his due, he only copied the etymology from other sources, the OED included.",I'm pretty sure that Hendrickson didn't have much to base his ideas on.,xnli
سيهدئ هذا من روع كولونيل بيشوب، ربما.,لقد سمع الكولونيل بيشوب بعض الأخبار السيئة.,1,"That'll cool Colonel Bishop's heat, maybe.",Colonel Bishop has heard some bad news.,xnli
إذا بدأنا العام المالي الجديد بعجز، فسيكون هذا تحديًا حقيقيًا.,قد لا يكون العمل ممكنًا إذا بدأنا السنة المالية الجديدة بعجز.,1,"If we begin our new fiscal year with a deficit, this will be a real challenge.",Business may not be possible if we begin a new fiscal year with a deficit.,xnli
سأخذ إجازة. أشك في ذلك. لم تخف نبرة رباطة جبروت شيئًا من قوتها.,كانت سيادته غاضبة لأنني أهملت واجباتي.,1,I will take leave to doubt it.  His lordship's tone abated nothing of its asperity.,His lordship was angry because I had neglected my duties.,xnli
الرجال يتسلقون الجبل,يتسلق رجلان جبلًا,0,The men are climbing a mountain,A mountain is being climbed by two men,arNLI
وينطبق ذلك على كلٍ من العلاقة بين التركيز والاستجابة المعرف بالوظيفة الوحيدة بين التركيز والاستجابة وتلك التي تم تعريفها بمجموعة من وظائف التركيز والاستجابة.,هناك الكثير من معادلات C-R التي تعمل معًا.,0,This applies to both C-R relationships defined by a single C-R function and those defined by a pooling of multiple C-R functions.,There are a lot of C-R functions that work together.,xnli
يتم قطع الشجرة من قبل رجل,رجل يختار شجرة ليقطعها,0,A tree is being picked up by a man,A man is picking up a tree,arNLI
مجموعة من المستهلكين يسيرون خلال السوق العام لشراء الخضروات مع خلفية دكان مزدحم وراءهم.,المتبضعون يشترون الخضروات في سوق عام مزدحم.,0,A group of consumers walking through a public market to purchase vegetables with the background of the busy store just behind them.,Shoppers purchasing vegetables at a busy public market.,snli
وهناك لاعب كرة السلة في الطابق محكمة وآخر واحد  الاستيلاء على الكرة,اثنين من لاعبي كرة القدم تتدافع على الكرة في الملعب,1,A basketball player is on the court floor and another one is grabbing the ball,Two football players are scrambling for the ball on the court,arNLI
سيكون من الرائع إذا أمكنك أن تقضي وقتك في زيارة مدرستك ، وشاهد بنفسك التقدم الذي أحرزناه على مر السنين والمشاركة في فخر تراثنا!,يجب أن تزور مدرستك ورؤية ما كنا نقوم به.,0,"It would be wonderful if you could take the time to visit your School, and see for yourself the progress we have made over the years and share in the pride of our heritage!",You should visit your school and see what we've been up to.,xnli
هذا لا يعني أن التقليد الغربي يحتكر اللسانية.,الطيبة ليست ملكًا خاصًا فقط بالتقاليد الغربية.,0,This is not to say that the Western tradition has a monopoly on Niceness.,Niceness is not solely owned by Western tradition.,xnli
آمل أن يرعب هذا الرعب أولئك المستعدين لوضع الظلم على الأرض، لأن رعب هذه الصور يخبر بما ينتظرهم.,سيتم قتل هؤلاء الناس على الفور.,1,"May such terror terrify those in thrall to earthly error, for the horror of these images tells what awaits them.",Those people will be killed immediately.,xnli
امرأة بالمقدمة تتجه نحو عمود أبيض كبير الذي هو جزء من بناية كبيرة بينما الناس يتسكعون أو ينتظرون على درج البناية.,كلب يجري صاعدا درج البناية.,2,A female within the foreground is heading towards a large white colored pillar that is apart of a large building with people are loitering or waiting on the steps of said building.,A dog is running up the steps of a building.,snli
واصل بندر الحازمي تدريباته في أريزونا إيفياشن يتخللها رحلات متقطعة إلى المملكة العربية السعودية، قبل مغادرته الولايات المتحدة للمرة الأخيرة في يناير 2000.,بندر الحازمي لم يسافر إلى الولايات المتحدة.,2,"Bandar al Hazmi continued his training at Arizona Aviation with intermittent trips home to Saudi Arabia, before departing the United States for the last time in January 2000.",Bandar al Hazmi never traveled to the US.,xnli
رجل يقف في صالة ألعاب رياضية ويرتدي قميصا,رجل  يرتدي قميص أسود يقف في الصالة الرياضية,0,A man is standing in a gym and is wearing a jersey,A man in a black jersey is standing in a gym,arNLI
التفسير الذي يمكن لمتلقو الخدمات القانونية أن يمثلوا الأجانب فقط خلال الأوقات التي يكونون فيها حاضرين فعليًا في الولايات المتحدة سيقدم لمزودي LSC مع خيارين.,يمكن للأجانب الحصول على تمثيل قانوني عندما يكونون في الولايات المتحدة.,0,An interpretation that legal services recipients can represent aliens only during the times that they are physically present in the United States would present LSC providers with two options.,Aliens can have legal representation when they are in the US.,xnli
يقف الرجل على جبل صخري وخلفيته غيوم رمادية,يقف الرجل على جبل صخري وتظهر غيوم رمادية في الخلفية,0,"The man is standing on a mountain, which is rocky, and gray clouds are in the background",The man is standing on a rocky mountain and gray clouds are in the background,arNLI
والشخص يصب الزيت للطهي في وعاء,والشخص يصب زيت الزيتون في وعاء على موقد,0,A person is pouring oil for cooking into a pot,A person is pouring olive oil into a pot on the stove,arNLI
رجل يطلق النار بسلاح,رجل يجدف في قارب,1,A man is shooting with a weapon,A man is rowing a boat,arNLI
وفي اليوم نفسه، أحال مشرف التوجيه المعلومة إلى عميل المخابرات لفتح قضية استخباراتية - وكيلاً كان وراء الجدار، محتفظاً بالمعلومات الاستخبارية التي يملكها مكتب التحقيقات الفيدرالي بعيدا كي لا يتم تقاسمها مع المدعين العامين الجنائيين.,لم تتم إعادة توجيه العميل مطلقًا ، وتم نسيانه بدلاً من ذلك.,2,"That same day, the supervisor forwarded the lead to an intelligence agent to open an intelligence case-an agent who thus was behind the wall keeping FBI intelligence information from being shared with criminal prosecutors.",The lead was never forwarded and was just forgotten instead.,xnli
وظائف التركيز إلى الاستجابة قد تُقدر بالحدود القصوى الصريحة.,لا يمكن تقدير وظائف CR.,2,C-R functions may also be estimated with or without explicit thresholds.,C-R functions can never be estimated.,xnli
24 قد تناسب هذه الخصائص أيضًا تقارير المساءلة الخاصة بجي إم أر أيه أو اتفاقية إعادة الشراء الرئيسية العالمية.,يمكن استخدام نفس الميزات لتقارير المساءلة في GMRA.,0,24 These features would also be appropriate for GMRA accountability reports.,The same features could be used for GMRA accountability reports.,xnli
ستكون قادرًا على اللعب بجوار اللاعبين الكبار على طاولات الروليت والكرابس (لعبة نرد) أو وضع القليل من العملات في ماكينات القمار.,يمكنك لعب القمار في فيغاس.,1,You'll be able to play alongside the  high rollers  at the roulette or craps tables or put a few coins in the slot machines.,You can gamble in Vegas.,xnli
الأطفال لا يرتدون سترات ويرشون المياه حولهم,أطفال يرتدون بلباس البحر ويرشون المياه حولهم,2,The kids are not wearing suits and water is splashing around,The kids are wearing bathing suits and water is splashing around,arNLI
يميّز دينت المخلوقات الداروينية ، ومخلوقات بافلوفي ، ومخلوقات بوبيري ، ومخلوقات غريغورية.,دينيت تفضل الكائنات الداروينية.,1,"Dennett distinguishes  Darwinian creatures, Pavlovian creatures, Popperian creatures, and  Gregorian creatures.",Dennett prefers Darwinian creatures.,xnli
يعزف الرجل الجيتار,قارب يبحر بسلام فوق الماء,1,The guitar is being played by the man,A boat is sailing peacefully over the water,arNLI
رجل يعزف على الغيتار,يتم العزف الغيتار من قبل رجل,0,A man is playing guitar,Guitar is being played by a man,arNLI
أنا لن أحتجزك بعد الآن، يا سيدتي.,لن أحتجزك لفترة أطول، يا سيدتي.,0,"I'll not be detaining you any longer, ma'am.","I won't keep you detained any longer, ma'am.",xnli
رجل بسترة زرقاء يقرر أن يضطجع على العشب.,الرجل في الأصفر يتدحرج على العشب.,2,Male in a blue jacket decides to lay in the grass.,The guy in yellow is rolling on the grass,snli
ثالثا ، احتاج رأس الصاروخ الموجه المحمول بواسطة بريداتور إلى تفعيل.,رأس هيلفاير الحربي جاهز الآن ليتم حمله على بريداتور,2,"Third, the Hellfire warhead carried by the Predator needed work.",The Hellfire warhead is ready now to be carried on Predator,xnli
وقد أتى الرجل على أي حال.,ركض الرجل في الاتجاه الآخر.,2,Anyhow the man comes in.,The man ran the other way.,xnli
يقول النقاد غالبا مايكتب التاريخ بأيدى الفائزين .,يقول النقاد إن الناس الذين يفوزون باليانصيب يصنعون التاريخ.,1,Pundits often say history is written by the winners.,Pundits say people who win the lottery tell history.,xnli
صبي صغير يستخدم لغة الإشارة,فتاة تتواصل بلغة الإشارة,1,A young boy is using sign language,A girl is communicating with sign language,arNLI
لسوء الحظ ، لا يشارك جميع الأميركيين في وجهة نظرنا حول أهمية العمل الخيري.,لا يعتقد كل الأمركيين أنّه عليك التبرّع بالمال.,0,"Unfortunately, our view of the importance of philanthropy is not shared by all Americans.",Not all Americans think you should donate money.,xnli
"كان الفريق معروفاً في السابق بإسم بينيترز الذي لا ينسى , والذي, يمكن أيضاً اعتباره , بغرابة, لقباً هندياً",الفريق كان يلقب بإسم آخر قبل هذا الإسم، وهذا الإسم يمكن اعتباره لقباً هندياً ايضاً.,0,"The team had previously been known by the memorable designation Beaneaters , which, in a curious way, might also be considered an Indian nickname.",The team had a name before this one that could also be thought of as an Indian nickname.,xnli
وليس هناك رجل يركب الحصان,رجل يركب الحصان,2,There is no man riding a horse,A man is riding a horse,arNLI
رجل وتشارك في سباق للbmxs,رجل يشارك في سباق BMX,0,A man is participating in a race for bmxs,A man is participating in a bmx race,arNLI
نعم، أتمنى لك عطلة صيفية رائعة,نعم ، استمتع بصيف لطيف.,0,yeah have a nice summer,"Yes, have a pleasant summer.",xnli
شخص ما يغني عن رجل يعزف على الجيتار,رجل يغني ويعزف على الجيتار,1,Someone is singing about a man who plays the guitar,A man is singing and playing a guitar,arNLI
فتاة صغيرة تجلس في ملابس السباحة,طفلة صغيرة ترتدي بدلة سباحة منقوشة باللون الأزرق وقبعة سباحة باللونين الأسود والأصفر وعلى رأسها نظارات سباحة زرقاء,1,A young girl is sitting in swimming gear,"A little girl is wearing a blue patterned swim suit, a black and yellow swim cap and has blue swimming goggles on the head",arNLI
ممارس كاراتيه يركل رجلاً آخر يرتدي قفازات واقية للملاكمة,ممارس كاراتيه يركل رجلاً آخر يرتدي قفازات الملاكمة الواقية,2,A woman is boiling noodles in water,There is no person boiling noodles,arNLI
رجل يقفز على الجدار,رجل رياضي يقفز على الجدار,0,A man is jumping a wall,A man is athletically jumping a wall,arNLI
توفر الحكومة الأمريكية بسهولة معلومات كثيرة عن الإنفاق على قواتها العسكرية ، بما في ذلك الاستخبارات العسكرية.,تنفق الحكومة الأمريكية الأموال على مخابراتها العسكرية.,0,"The U.S. government readily provides copious information about spending on its military forces, including military intelligence.",The US government spends money on their military intelligence.,xnli
الأنشطة أو الأجهزة الجنسية أو الإخراجية.,بعض الأنشطة تفرز الدم.,1,sexual or excretory activities or organs.,Some activities excrete blood.,xnli
ماكيم، أبدى الكثير من استياءه، فهو لم يخسر فقط بل وضع في المرتبة الثالثة وراء هوارد  & amp؛ كولدويل.,هوارد وكالدويل كانوا نساء.,1,"McKim, much to his chagrin, not only lost but placed third behind Howard &amp; Cauldwell.",Howard and Cauldwell were women.,xnli
طائرة تطير فوق الرؤوس بينما يقف الرجال العسكريين في اهتمام، علم يرفرف في مهب الريح و سيدة في الأحمر تحملق نحو الكاميرا.,طائرة تطير في السماء.,0,"A plane flies overhead as military men stand at attention, a flag blows in the wind as a lady in red stares out towards the camera.",A plane flies in the sky.,snli
رجل يضع بعض الجبن على البيتزا,رجل ورش الجبن على البيتزا,0,A man is putting some cheese on a pizza,A man is sprinkling cheese on a pizza,arNLI
شوارع التسوق والتنزه الرئيسية هي شارع باسيج دي غراسيا الرائع ، نسخة برشلونة لشارع شانزليزيه ، و ممر المشاة الوحيد ، رامبلا كاتالونيا وهو الجزء العلوي من الرامبلا.,يحظر النشاط التجاري والمشاة في باسيج دي غراسيا.,2,"The principal shopping and strolling avenues are the elegant Passeig de Gracia, Barcelona's version of the Champs d'Elysee, and pedestrian-only Rambla de Catalunya, an uptown segment of La Rambla.",Commercial activity and pedestrians are prohibited in Passeig de Gracia.,xnli
الرجل يعزف على الغيتار,رجل يعزف على الغيتار,0,The man is playing the guitar,A man is playing the guitar,arNLI
"هذا كورال الكنيسة يغني للجماهير, حيث يغنون أغاني سعيدة من الكتاب في كنيسة.",الكنيسة مليئة بالأغاني.,0,This church choir sings to the masses as they sing joyous songs from the book at a church.,The church is filled with song.,snli
ويجري تمشيط الفراء القط من قبل شخص, شخص يمشط فراء القط,0,The fur of a cat is being combed by a person,A person is combing the fur of a cat,arNLI
تحت الجسور في المرفأ توجد جزيرة صغيرة تسمى كاي بوتر.,بوتر كاي هو جزيرة صغيرة جدا.,0,Underneath the bridges in the harbor is a small island called Potter's Cay.,Potter's Cay is a very small island.,xnli
أدرك تماما ما فعلت، وأتفهم ذلك جزئيا، على الأقل، ربما حثَّك احترامك لي.,كان عليك أن تفكر في قبل أن تفعل ما فعلته.,0,"I realize fully what you did, and I realize that partly, at least, you may have been urged by consideration for myself.",You might have considered me when you did what you did.,xnli
اجعل معطفي يبدو جديدا، عزيزي ، قم بخياطته!,أحتاجك أن ترتدي معطفي من خلال خياطة ذلك.,0,"Make my coat look new, dear, sew it!",I need you to mend my coat by sewing it.,xnli
رجل يقود سيارة,رجل يقود سيارة,0,A man is driving a vehicle,A man is driving a car,arNLI
حسناً ، ودعني أقل لك أنني وصلت للمرحلة أني كنت على وشك الانسحاب.,لم يخطر ببالي أبدا أن أستقيل.,2,So and let me tell you I got to the point today where I was about to quit.,It never entered my mind to quit.,xnli
كان اسمه الأصلي هو المدرج الفلافي حسب الإسم العائلي للإمبراطور الفسبازيوني، الملقب بالبناء,تركت عائلة فلافيان إرثاً مثيراً يؤثر على التاريخ حتى هذا اليوم.,1,"Its official name was Flavian Amphitheater , after the family name of its builder, the emperor Vespasian.",The Flavian family left an impressive legacy that impacts history to this day.,xnli
رجلين يلعبان تنس ,رجلين يلعبان تنس ,2,Two men are playing table tennis,Two men are playing table football,arNLI
يمكن للمرء أيضًا العثور على بعض التعريفات هنا وهناك والتي ليست خاطئة تماما حتى الآن مع أي واحد قد نختلف.,التعريف قد يكون صحيح تقنياً، ولكن قد يكون له تفسيرين أو أكثر يتجادل عليه الناس.,1,One can also find some definitions here and there that are not entirely wrong yet with which one might disagree.,A definition may be technically correct yet have two or more interpretations that people would argue about.,xnli
أظن أن جزءًا من الإجابة اجتماعي.,أظن أن الإجابة اجتماعية وفسيولوجية بقدر متساوي.,1,"Part of the answer, I suspect, is sociological.",I suspect the answer is equally sociological and physiological.,xnli
أوه، ولكن --بعد إذنك-- بالتأكيد لا يوجد شيء ليتم اعتقاله من الكولونيل بيشوب.,كان من المفترض أن يلقي الأسقف القبض على المجرم.,1,"Oh, but--by your leave--surely there is nothing to be apprehended from Colonel Bishop.",The Bishop was supposed to apprehend a criminal.,xnli
تتبنى الحكومة الفدرالية المسؤولة مبادئ الإدارة القائمة على الأداء في محاولة لمعالجة هذه المطالب.,تستخدم الحكومة هذه المبادئ في محاولة للتعامل مع هذه المطالب.,0,Accountable Federal government is adopting the principles of performancebased management in an effort to address these demands.,The government is using these principles to try to handle these demands.,xnli
طفلان وامرأة يلعبان في صالة ألعاب,طفلان ورجل يلعبان الألعاب في صالة ألعاب,1,Two kids and a woman are playing games at an arcade,Two kids and a man are playing games at an arcade,arNLI
ولماذا وضع نفسه في هذا الوضع؟ من أجل فتاة تجنبته باستمرار وعن عمد ليعتقد أنها لاتزال تعامله بنفور.,وضع نفسه في منصبه الحالي لفتاة كانت مهووسة به.,2,And for what had he placed himself in this position? For the sake of a girl who avoided him so persistently and intentionally that he must assume that she still regarded him with aversion.,He put himself in his current position for a girl that was obsessed with him.,xnli
حتى موقع المبنى هو أعجوبة تكنولوجية.,يستخدم المبنى الكثير من التكنولوجيا الهندسية لمنعه من الانزلاق إلى المحيط.,1,Even the location of the building is a technological marvel.,The building uses a lot of engineering technology to keep it from sliding into the ocean.,xnli
الرجل لا يرفع الأثقال,امرأة جالسة تغني أغنية وتعزف على الجيتار,1,The man isn't lifting weights,A seated woman is singing a song and playing the guitar,arNLI
طفل يعطس  ويخيف طفل آخر,طفل يجلس,1,A baby is sneezing and scaring another baby,A baby is sitting,arNLI
عاملان بناء يجلسان على قمة أحد المباني,عاملان بناء يجلسان على جانب أحد المباني,1,Two construction workers are sitting up on the top of a building,Two construction workers are sitting up on the side of a building,arNLI
 راكب دراجة نارية  يقفز في الهواء وحيداَ,رجل يقفز في حوض سباحة فارغ,1,A lone biker is jumping in the air,The man's jumper is in the empty pool,arNLI
يمكن أن تشمل هذه الفرص غير المتوقعة لتعزيز تعلم الطلاب وهيئة التدريس من خلال دعوة الزوار والباحثين الخاصين إلى الحرم الجامعي عندما يكونون في الولاية.,تظهر زيارات الحرم الجامعي للطلاب كيف تبدو الحياة الجامعية.,1,These can include unforeseen chances to enhance student and faculty learning by inviting special visitors and scholars to the campus when they happen to be in the state.,Campus visits show students what college life is like.,xnli
تعمل مدينة ميناء نافبليو كقاعدة مثالية للتجول في المنطقة، أو ربما مكان لتناول الغداء أثناء رحلتك.,نافبليو هي قاعدة سيئة.,2,"The port town of Nafplio makes the perfect base for touring the area, or perhaps a spot to have lunch while on your tour.",Nafplio is a bad base.,xnli
يقع النصب الروماني العظيم الآخر في المدينة ، والمسرح العتيق ، في الجانب الجنوبي من المدينة.,المسرح في الشارع الأخير في نهاية الجنوب من المدينة.,1,"The town's other great Roman monument, the theatre antique, is on the south side of town.",The theater is on the last street on the south end of town.,xnli
ونتطلع إلى إجراء مناقشة وطنية بشأن مزايا ما أوصينا به ، وسنشارك بقوة في تلك المناقشة.,نود مناقشة التوصيات.,0,"We look forward to a national debate on the merits of what we have recommended, and we will participate vigorously in that debate.",We would like to debate the recommendations.,xnli
هناك رجل يلعب كرة القدم بمرح ,هناك رجل يلعب كرة القدم بمرح ,0,A guy is cheerfully playing with a footbag,A guy is cheerfully playing with the footbag,arNLI
